
(200, 188, 6, 2, 20)
(300, 263, 11, 3, 20)
(400, 316, 32, 4, 20)
(500, 383, 45, 5, 20)
(600, 426, 71, 6, 20)
(700, 494, 85, 7, 20)
(800, 546, 99, 8, 20)
(900, 586, 134, 9, 20)
(1000, 583, 168, 10, 20)
(1100, 610, 167, 11, 20)
(1200, 681, 221, 12, 20)
(1300, 655, 272, 13, 20)
(1400, 684, 294, 14, 20)
(1500, 710, 297, 15, 20)
(1600, 714, 326, 16, 20)
(1700, 744, 413, 17, 20)
(1800, 725, 419, 18, 20)
(1900, 759, 476, 19, 20)
(2000, 765, 0, 20, 20)


(200, 184, 3, 2, 30)
(300, 257, 10, 3, 30)
(400, 341, 19, 4, 30)
(500, 406, 30, 5, 30)
(600, 446, 49, 6, 30)
(700, 522, 60, 7, 30)
(800, 554, 85, 8, 30)
(900, 593, 81, 9, 30)
(1000, 661, 103, 10, 30)
(1100, 745, 146, 11, 30)
(1200, 830, 178, 12, 30)
(1300, 862, 198, 13, 30)
(1400, 816, 194, 14, 30)
(1500, 870, 221, 15, 30)
(1600, 907, 279, 16, 30)
(1700, 954, 277, 17, 30)
(1800, 970, 345, 18, 30)
(1900, 941, 0, 19, 30)


(200, 183, 1, 2, 50)
(300, 282, 9, 3, 50)
(400, 341, 6, 4, 50)
(500, 402, 17, 5, 50)
(600, 462, 24, 6, 50)
(700, 624, 37, 7, 50)
(800, 604, 35, 8, 50)
(900, 693, 47, 9, 50)
(1000, 709, 64, 10, 50)
(1100, 776, 86, 11, 50)
(1200, 961, 117, 12, 50)
(1300, 910, 98, 13, 50)
(1400, 944, 136, 14, 50)
(1500, 992, 163, 15, 50)
(1600, 1017, 144, 16, 50)
(1700, 1131, 199, 17, 50)
(1800, 1136, 230, 18, 50)
(1900, 1181, 238, 19, 50)
(2000, 1312, 265, 20, 50)
